uniq_Id,Park_Unit,Location_Name,X,Y,Active,Map_Class,Physiognomy
256,San Antonio Missions,SAAN03,29.0988998,-98.1651993,TRUE,Cedar Elm - Sugarberry / Possum-haw / Virginia Wild Rye Forest,Deciduous Forest
257,San Antonio Missions,SAAN04,29.0977001,-98.1673965,TRUE,Honey Mesquite - Granjeno / Prickly-pear species - South Texas Ericameria Woodland,Deciduous Woodland
258,San Antonio Missions,SAAN05,29.0995998,-98.1605988,TRUE,Eastern Cottonwood Termporarily Flooded Alliance,Deciduous Forest
259,San Antonio Missions,SAAN06,29.0939999,-98.1668015,TRUE,Chaparro - Prieto Shrubland,Deciduous Shrubland
260,San Antonio Missions,SAAN07,29.3374996,-98.4560013,TRUE,Pecan - Sugarberry Forest,Deciduous Forest
261,San Antonio Missions,SAAN08,29.3323002,-98.4496002,TRUE,Pecan - Sugarberry Forest,Deciduous Forest
262,San Antonio Missions,SAAN09,29.3292999,-98.4552002,TRUE,Silver Beardgrass - Johnsongrass Herbaceous Vegetation,Introduced Grassland
264,San Antonio Missions,SAAN11,29.3304996,-98.4522018,TRUE,Silver Beardgrass - Johnsongrass Herbaceous Vegetation,Introduced Grassland
265,San Antonio Missions,SAAN12,29.3253002,-98.4567032,TRUE,Old Field Weedy Herbaceous Vegetation,Forbland
266,San Antonio Missions,SAAN13,29.3227005,-98.4555969,TRUE,Privet Shrubland Stand,Evergreen Shrubland
267,San Antonio Missions,SAAN14,29.3267994,-98.4586029,TRUE,Old Field Weedy Herbaceous Vegetation,Forbland
268,San Antonio Missions,SAAN15,29.3476009,-98.4680023,TRUE,Bermuda Grass Herbaceous Alliance,Introduced Grassland
269,San Antonio Missions,SAAN16,29.3337002,-98.4529037,TRUE,Huisache - (Honey Mesquite) Woodland,Deciduous Woodland
270,San Antonio Missions,SAAN17,29.3313999,-98.4476013,TRUE,Huisache - (Honey Mesquite) Woodland,Deciduous Woodland
272,San Antonio Missions,SAAN19,29.3428993,-98.4582977,TRUE,Bermuda Grass Herbaceous Alliance,Introduced Grassland
274,San Antonio Missions,SAAN21,29.3188,-98.4489975,TRUE,Pecan - Sugarberry Forest,Deciduous Forest
275,San Antonio Missions,SAAN22,29.3402004,-98.4573975,TRUE,Bermuda Grass Herbaceous Alliance,Introduced Grassland
276,San Antonio Missions,SAAN23,29.3171997,-98.4468994,TRUE,Planted / Cultivated,Fields and Croplands
278,San Antonio Missions,SAAN25,29.3278999,-98.4615021,TRUE,Pecan - Sugarberry Forest,Deciduous Forest
279,San Antonio Missions,SAAN26,29.3384991,-98.4625015,TRUE,Pecan - Sugarberry Forest,Deciduous Forest
280,San Antonio Missions,SAAN27,29.3320999,-98.4564972,TRUE,Pecan - Sugarberry Forest,Deciduous Forest
281,San Antonio Missions,SAAN28,29.3290997,-98.447998,TRUE,Pecan - Sugarberry Forest,Deciduous Forest
283,San Antonio Missions,SAAN30,29.3899994,-98.4933014,TRUE,Pecan - Sugarberry Forest,Deciduous Forest
284,San Antonio Missions,SAAN31,29.3174,-98.4509964,TRUE,Huisache - (Honey Mesquite) Woodland,Deciduous Woodland
285,San Antonio Missions,SAAN32,29.3202,-98.4511032,TRUE,Bermuda Grass Herbaceous Alliance,Introduced Grassland
287,San Antonio Missions,SAAN34,29.3286991,-98.4593964,TRUE,Huisache - (Honey Mesquite) Woodland,Deciduous Woodland
288,San Antonio Missions,SAAN35,29.3362007,-98.4589996,TRUE,Huisache - (Honey Mesquite) Woodland,Deciduous Woodland
290,San Antonio Missions,SAAN37,29.3279991,-98.4506989,TRUE,Silver Beardgrass - Johnsongrass Herbaceous Vegetation,Introduced Grassland
291,San Antonio Missions,SAAN38,29.3605003,-98.479599,TRUE,Parking Lot,Roads and Trails
292,San Antonio Missions,SAAN39,29.3635006,-98.4801025,TRUE,Honey Mesquite - Granjeno / Prickly-pear species - South Texas Ericameria Woodland,Deciduous Woodland
293,San Antonio Missions,SAAN40,29.3918991,-98.4916,TRUE,Bermuda Grass Herbaceous Alliance,Introduced Grassland
47,Vicksburg NMP,VE106,32.37194102,-90.86990466,TRUE,Shumard Oak - Cherrybark Oak Forest Alliance,Woodlands and Forest
53,Vicksburg NMP,VE110,32.37346213,-90.83525772,TRUE,Shumard Oak - Cherrybark Oak Forest Alliance,Woodlands and Forest
43,Vicksburg NMP,VE119,32.37392255,-90.83762967,TRUE,Shumard Oak - Cherrybark Oak Forest Alliance,Woodlands and Forest
13,Vicksburg NMP,VF03,32.35311128,-90.8491243,TRUE,Shumard Oak - Cherrybark Oak Forest Alliance,Woodlands and Forest
4,Vicksburg NMP,VF08,32.35814657,-90.83871731,TRUE,Shumard Oak - Cherrybark Oak Forest Alliance,Woodlands and Forest
24,Vicksburg NMP,VF12,32.37171769,-90.84948223,TRUE,Shumard Oak - Cherrybark Oak Forest Alliance,Woodlands and Forest
23,Vicksburg NMP,VF17,32.3708121,-90.86272014,TRUE,Shumard Oak - Cherrybark Oak Forest Alliance,Woodlands and Forest
8,Vicksburg NMP,VF27,32.36629063,-90.84065471,TRUE,Shumard Oak - Cherrybark Oak Forest Alliance,Woodlands and Forest
5,Vicksburg NMP,VF29,32.36218032,-90.83868566,TRUE,Shumard Oak - Cherrybark Oak Forest Alliance,Woodlands and Forest
11,Vicksburg NMP,VF31,32.37886376,-90.85689645,TRUE,Shumard Oak - Cherrybark Oak Forest Alliance,Woodlands and Forest
19,Vicksburg NMP,VF32,32.37366765,-90.84456919,TRUE,Shumard Oak - Cherrybark Oak Forest Alliance,Woodlands and Forest
21,Vicksburg NMP,VF33,32.37616425,-90.84637175,TRUE,Shumard Oak - Cherrybark Oak Forest Alliance,Woodlands and Forest
15,Vicksburg NMP,VF36,32.33999896,-90.85817341,TRUE,Shumard Oak - Cherrybark Oak Forest Alliance,Woodlands and Forest
18,Vicksburg NMP,VF38,32.34086838,-90.85123104,TRUE,Shumard Oak - Cherrybark Oak Forest Alliance,Woodlands and Forest
25,Vicksburg NMP,VF42,32.35812259,-90.84609215,TRUE,Shumard Oak - Cherrybark Oak Forest Alliance,Woodlands and Forest
12,Vicksburg NMP,VF57,32.35492268,-90.84532946,TRUE,Shumard Oak - Cherrybark Oak Forest Alliance,Woodlands and Forest
35,Vicksburg NMP,VM05,32.37669317,-90.85719945,TRUE,"Sycamore - (Green Ash, Sugarberry, Silver Maple) Temporarily Flooded Forest Alliance",Woodlands and Forest
52,Vicksburg NMP,VM06,32.37548915,-90.86527528,TRUE,Shumard Oak - Cherrybark Oak Forest Alliance,Woodlands and Forest
38,Vicksburg NMP,VM07,32.3592075,-90.8418527,TRUE,Shumard Oak - Cherrybark Oak Forest Alliance,Woodlands and Forest
36,Vicksburg NMP,VM14,32.34113229,-90.8551008,TRUE,Shumard Oak - Cherrybark Oak Forest Alliance,Woodlands and Forest
49,Vicksburg NMP,VM16,32.37684101,-90.85470946,TRUE,Shumard Oak - Cherrybark Oak Forest Alliance,Woodlands and Forest
39,Vicksburg NMP,VM25,32.37169566,-90.85376974,TRUE,"Johnson grass, Bahia grass",grassland
59,Vicksburg NMP,VM26,32.37698568,-90.86262711,TRUE,Shumard Oak - Cherrybark Oak Forest Alliance,Woodlands and Forest
51,Vicksburg NMP,VM28,32.3741065,-90.84702095,TRUE,Shumard Oak - Cherrybark Oak Forest Alliance,Woodlands and Forest
56,Vicksburg NMP,VM29,32.34747324,-90.85505088,TRUE,Shumard Oak - Cherrybark Oak Forest Alliance,Woodlands and Forest
54,Vicksburg NMP,VM39,32.33835972,-90.85640624,TRUE,Shumard Oak - Cherrybark Oak Forest Alliance,Woodlands and Forest
45,Vicksburg NMP,VM41,32.37846042,-90.843182,TRUE,Shumard Oak - Cherrybark Oak Forest Alliance,Woodlands and Forest
40,Vicksburg NMP,VM51,32.36286451,-90.84634686,TRUE,Shumard Oak - Cherrybark Oak Forest Alliance,Woodlands and Forest
50,Vicksburg NMP,VM52,32.34780301,-90.84840372,TRUE,Shumard Oak - Cherrybark Oak Forest Alliance,Woodlands and Forest
41,Vicksburg NMP,VM53,32.37679229,-90.85051001,TRUE,Shumard Oak - Cherrybark Oak Forest Alliance,Woodlands and Forest
42,Vicksburg NMP,VM54,32.37794349,-90.86638435,TRUE,"Developed, Open Space",Mowed Lawn
27,Vicksburg NMP,VO08,32.36933566,-90.87041525,TRUE,"Johnson grass, Bahia grass",grassland
