OID_,Join_Count,TARGET_FID,id_db,id_protocol,Latitude,Longitude,SiteName,UnitCode,park,latitude_1,longitude_1,utmX,utmY,utmZone,monBeginDate,monEndDate
114,1,114,SAAN03,Ra_03,29.0988998,-98.1651993,San Antonio Missions,SAAN,SAAN,29.09891009,-98.16516467,581236.9001,3219231.921,utm14,20100531,
115,0,115,SAAN04,,29.0977001,-98.1673965,San Antonio Missions,SAAN,,,,,,,,
116,0,116,SAAN05,,29.0995998,-98.1605988,San Antonio Missions,SAAN,,,,,,,,
117,1,117,SAAN06,Ra_06,29.0939999,-98.1668015,San Antonio Missions,SAAN,SAAN,29.0940392,-98.16683837,581077.8446,3218691.077,utm14,20100531,
118,1,118,SAAN07,Mi_07,29.3374996,-98.4560013,San Antonio Missions,SAAN,SAAN,29.33745338,-98.45602929,552810.1231,3245496.329,utm14,20100525,
119,1,119,SAAN08,Mi_08,29.3323002,-98.4496002,San Antonio Missions,SAAN,SAAN,29.33227944,-98.4496246,553434.6152,3244925.968,utm14,20100604,
120,1,120,SAAN09,Mi_09,29.3292999,-98.4552002,San Antonio Missions,SAAN,SAAN,29.32928477,-98.45513651,552901.0146,3244591.654,utm14,20100527,
121,1,121,SAAN11,Mi_11,29.3304996,-98.4522018,San Antonio Missions,SAAN,SAAN,29.33051751,-98.45220863,553184.6482,3244729.569,utm14,20100527,
122,1,122,SAAN12,Mi_12,29.3253002,-98.4567032,San Antonio Missions,SAAN,SAAN,29.32522095,-98.45662705,552758.3865,3244140.712,utm14,20100529,
123,0,123,SAAN13,,29.3227005,-98.4555969,San Antonio Missions,SAAN,,,,,,,,
124,1,124,SAAN14,Mi_14,29.3267994,-98.4586029,San Antonio Missions,SAAN,SAAN,29.32671103,-98.45860937,552565.1475,3244304.92,utm14,20100529,
125,1,125,SAAN15,Mi_15,29.3476009,-98.4680023,San Antonio Missions,SAAN,SAAN,29.34762376,-98.46796451,551646.2751,3246617.872,utm14,20100525,
126,1,126,SAAN16,Mi_16,29.3337002,-98.4529037,San Antonio Missions,SAAN,SAAN,29.33365962,-98.45291032,553114.8919,3245077.395,utm14,20100529,
127,1,127,SAAN17,Mi_17,29.3313999,-98.4476013,San Antonio Missions,SAAN,SAAN,29.33138043,-98.44758621,553632.9913,3244827.291,utm14,20100610,
128,1,128,SAAN19,Mi_19,29.3428993,-98.4582977,San Antonio Missions,SAAN,SAAN,29.34287301,-98.45831939,552585.0087,3246095.791,utm14,20100525,
129,1,129,SAAN21,Mi_21,29.3188,-98.4489975,San Antonio Missions,SAAN,SAAN,29.31877047,-98.44893642,553508.4811,3243429.495,utm14,20100610,
130,1,130,SAAN22,Mi_22,29.3402004,-98.4573975,San Antonio Missions,SAAN,SAAN,29.34014797,-98.45740744,552674.9411,3245794.267,utm14,20100610,
131,1,131,SAAN23,Mi_23,29.3171997,-98.4468994,San Antonio Missions,SAAN,SAAN,29.31718657,-98.44680622,553716.1569,3243254.976,utm14,20100610,
132,1,132,SAAN25,Mi_25,29.3278999,-98.4615021,San Antonio Missions,SAAN,SAAN,29.32793641,-98.4614825,552285.5581,3244439.404,utm14,20100529,
133,1,133,SAAN26,Mi_26,29.3384991,-98.4625015,San Antonio Missions,SAAN,SAAN,29.33839495,-98.46252869,552178.6543,3245597.737,utm14,20100604,
134,1,134,SAAN27,Mi_27,29.3320999,-98.4564972,San Antonio Missions,SAAN,SAAN,29.33205487,-98.4565099,552766.2433,3244897.96,utm14,20100527,
135,0,135,SAAN28,,29.3290997,-98.447998,San Antonio Missions,SAAN,,,,,,,,
136,0,136,SAAN30,,29.3899994,-98.4933014,San Antonio Missions,SAAN,,,,,,,,
137,1,137,SAAN31,Mi_31,29.3174,-98.4509964,San Antonio Missions,SAAN,SAAN,29.31740285,-98.45097938,553310.8166,3243277.032,utm14,20110514,
138,1,138,SAAN32,Mi_32,29.3202,-98.4511032,San Antonio Missions,SAAN,SAAN,29.32018674,-98.45108379,553299.2309,3243585.437,utm14,20110514,
139,1,139,SAAN34,Mi_34,29.3286991,-98.4593964,San Antonio Missions,SAAN,SAAN,29.32865174,-98.45940928,552486.4871,3244519.591,utm14,20110522,
140,1,140,SAAN35,Mi_35,29.3362007,-98.4589996,San Antonio Missions,SAAN,SAAN,29.33620559,-98.45900252,552522.1092,3245356.736,utm14,20110528,
141,1,141,SAAN37,Mi_37,29.3279991,-98.4506989,San Antonio Missions,SAAN,SAAN,29.32801419,-98.45074008,553328.5334,3244452.871,utm14,20110528,
142,1,142,SAAN38,Mi_38,29.3605003,-98.479599,San Antonio Missions,SAAN,SAAN,29.36048236,-98.47960765,550509.6805,3248037.514,utm14,20110528,
143,1,143,SAAN39,Mi_39,29.3635006,-98.4801025,San Antonio Missions,SAAN,SAAN,29.36349624,-98.48012029,550458.4363,3248371.229,utm14,20110528,
144,0,144,SAAN40,,29.3918991,-98.4916,San Antonio Missions,SAAN,,,,,,,,
145,1,145,TC01,TC_01,30.5795002,-94.3422012,Big Thicket Turkey Creek Unit,BITH_TC,BITH,30.57947362,-94.34220682,371300.2393,3383765.544,utm15,20140604,
146,1,146,TC02,TC_02,30.4766998,-94.3532028,Big Thicket Turkey Creek Unit,BITH_TC,BITH,30.47668551,-94.35315808,370113.3717,3372385.89,utm15,20150607,
147,1,147,TC03,TC_03,30.4687996,-94.3594971,Big Thicket Turkey Creek Unit,BITH_TC,BITH,30.46879444,-94.35950576,369493.4898,3371518.628,utm15,20150609,
148,1,148,TC04,TC_04,30.5573997,-94.344902,Big Thicket Turkey Creek Unit,BITH_TC,BITH,30.55740085,-94.34490359,371012.4221,3381322.248,utm15,20140606,
149,1,149,TC05,TC_05,30.5326996,-94.3392029,Big Thicket Turkey Creek Unit,BITH_TC,BITH,30.53269234,-94.33915032,371531.724,3378577.18,utm15,20150519,
150,1,150,TC06,TC_06,30.5618,-94.3472977,Big Thicket Turkey Creek Unit,BITH_TC,BITH,30.56182458,-94.34730816,370787.6458,3381815.296,utm15,20140606,
151,1,151,TC07,TC_07,30.5221996,-94.3467026,Big Thicket Turkey Creek Unit,BITH_TC,BITH,30.52215729,-94.34671589,370791.9298,3377418.204,utm15,20140516,
152,1,152,TC08,TC_08,30.5970001,-94.3472977,Big Thicket Turkey Creek Unit,BITH_TC,BITH,30.59696944,-94.3472546,370839.3877,3385710.438,utm15,20140515,
153,1,153,TC09,TC_09,30.5506992,-94.3414001,Big Thicket Turkey Creek Unit,BITH_TC,BITH,30.55067164,-94.34140376,371339.2374,3380572.433,utm15,20140602,
154,1,154,TC10,TC_10,30.6009998,-94.3560028,Big Thicket Turkey Creek Unit,BITH_TC,BITH,30.60104231,-94.35599353,370006.9538,3386171.911,utm15,20150606,
155,1,155,TC11,TC_11,30.4762993,-94.3373032,Big Thicket Turkey Creek Unit,BITH_TC,BITH,30.47633363,-94.33725305,371639.735,3372328.706,utm15,20150610,
156,1,156,TC12,TC_12,30.5485992,-94.344101,Big Thicket Turkey Creek Unit,BITH_TC,BITH,30.54856344,-94.34412428,371075.4887,3380341.885,utm15,20150518,
157,1,157,TC13,TC_13,30.5881996,-94.3544998,Big Thicket Turkey Creek Unit,BITH_TC,BITH,30.58820923,-94.35448709,370134.2666,3384747.84,utm15,20150509,
158,1,158,TC14,TC_14,30.5312996,-94.3431015,Big Thicket Turkey Creek Unit,BITH_TC,BITH,30.53124402,-94.34313854,371147.1772,3378421.21,utm15,20140516,
159,1,159,TC17,TC_17,30.5611992,-94.3336029,Big Thicket Turkey Creek Unit,BITH_TC,BITH,30.56122697,-94.33359207,372102.4071,3381733.41,utm15,20150509,
160,0,160,TC18,,30.5846996,-94.3358994,Big Thicket Turkey Creek Unit,BITH_TC,,,,,,,,
