order,park,landbird?,Common Name,Latin Name,4-letter code,Present in GULN point count,‘Present’ in NPSpecies & classified as park breeding,landbird or not,food,where,guild
1758,GUIS-MS,yes,European Starling,Sturnus vulgaris,EUST,no,yes,,Insectivore, ground gleaner,Insectivore_ ground gleaner
1765,GUIS-MS,yes,Tree Swallow,Tachycineta bicolor,TRES,yes,yes,,Insectivore, air hawker above canopy,Insectivore_ air hawker above canopy
1498,GUIS-MS,no,Royal Tern,Thalasseus maximus,ROYT,yes,yes,not landbird,NA,NA,NA_NA
1499,GUIS-MS,no,Sandwich Tern,Thalasseus sandvicensis,SATE,yes,yes,not landbird,NA,NA,NA_NA
1905,GUIS-MS,yes,Carolina Wren,Thryothorus ludovicianus,CARW,yes,yes,,Insectivore, lower canopy foliage gleaner,Insectivore_ lower canopy foliage gleaner
1918,GUIS-MS,yes,Brown Thrasher,Toxostoma rufum,BRTH,yes,yes,,Insectivore, ground gleaner,Insectivore_ ground gleaner
1556,GUIS-MS,no,Lesser Yellowlegs,Tringa flavipes,LEYE,no,yes,not landbird,NA,NA,NA_NA
1549,GUIS-MS,no,Greater Yellowlegs,Tringa melanoleuca,GRYE,no,yes,not landbird,NA,NA,NA_NA
1502,GUIS-MS,no,Willet,Tringa semipalmata,WILL,yes,yes,not landbird,NA,NA,NA_NA
1600,GUIS-MS,no,Solitary Sandpiper,Tringa solitaria,SOSA,no,no,not landbird,NA,NA,NA_NA
1926,GUIS-MS,yes,House Wren,Troglodytes aedon,HOWR,no,yes,,Insectivore, lower canopy foliage gleaner,Insectivore_ lower canopy foliage gleaner
1933,GUIS-MS,yes,Winter Wren,Troglodytes troglodytes,WIWR,no,yes,,Insectivore, lower canopy foliage gleaner,Insectivore_ lower canopy foliage gleaner
1588,GUIS-MS,no,Buff-breasted Sandpiper,Tryngites subruficollis,BBSA,no,no,not landbird,NA,NA,NA_NA
1940,GUIS-MS,yes,American Robin,Turdus migratorius,AMRO,no,yes,,Insectivore, ground gleaner,Insectivore_ ground gleaner
1947,GUIS-MS,yes,Gray Kingbird,Tyrannus dominicensis,GRAK,no,yes,,Insectivore, air hawker under canopy,Insectivore_ air hawker under canopy
1954,GUIS-MS,yes,Scissor-tailed Flycatcher,Tyrannus forficatus,STFL,no,no,,Insectivore, air hawker under canopy,Insectivore_ air hawker under canopy
1964,GUIS-MS,yes,Eastern Kingbird,Tyrannus tyrannus,EAKI,yes,yes,,Insectivore, air hawker under canopy,Insectivore_ air hawker under canopy
1970,GUIS-MS,yes,Western Kingbird,Tyrannus verticalis,WEKI,no,no,,Insectivore, air hawker under canopy,Insectivore_ air hawker under canopy
1519,GUIS-MS,no,Barn Owl,Tyto alba,BANO,no,yes,not landbird,NA,NA,NA_NA
1977,GUIS-MS,yes,Golden-winged Warbler,Vermivora chrysoptera,GWWA,no,no,,Insectivore, lower canopy foliage gleaner,Insectivore_ lower canopy foliage gleaner
1983,GUIS-MS,yes,Blue-winged Warbler,Vermivora cyanoptera,BWWA,no,no,,Insectivore, lower canopy foliage gleaner,Insectivore_ lower canopy foliage gleaner
1986,GUIS-MS,yes,Black-whiskered Vireo,Vireo altiloquus,BWVI,no,no,,Insectivore, lower canopy foliage gleaner,Insectivore_ lower canopy foliage gleaner
1990,GUIS-MS,yes,Bell's Vireo,Vireo bellii,BEVI,no,no,,Insectivore, lower canopy foliage gleaner,Insectivore_ lower canopy foliage gleaner
1997,GUIS-MS,yes,Yellow-throated Vireo,Vireo flavifrons,YTVI,no,yes,,Insectivore, lower canopy foliage gleaner,Insectivore_ lower canopy foliage gleaner
2005,GUIS-MS,yes,Warbling Vireo,Vireo gilvus,WAVI,no,no,,Insectivore, lower canopy foliage gleaner,Insectivore_ lower canopy foliage gleaner
2013,GUIS-MS,yes,White-eyed Vireo,Vireo griseus,WEVI,no,yes,,Insectivore, lower canopy foliage gleaner,Insectivore_ lower canopy foliage gleaner
2020,GUIS-MS,yes,Red-eyed Vireo,Vireo olivaceus,REVI,no,yes,,Insectivore, lower canopy foliage gleaner,Insectivore_ lower canopy foliage gleaner
2027,GUIS-MS,yes,Philadelphia Vireo,Vireo philadelphicus,PHVI,no,no,,Insectivore, lower canopy foliage gleaner,Insectivore_ lower canopy foliage gleaner
2034,GUIS-MS,yes,Blue-headed Vireo,Vireo solitarius,BHVI,no,yes,,Insectivore, lower canopy foliage gleaner,Insectivore_ lower canopy foliage gleaner
2039,GUIS-MS,yes,Yellow-headed Blackbird,Xanthocephalus xanthocephalus,YHBL,no,no,,Granivore, ground to undergrowth gleaner,Granivore_ ground to undergrowth gleaner
2045,GUIS-MS,yes,White-winged Dove,Zenaida asiatica,WWDO,no,yes,,Granivore, ground to undergrowth gleaner,Granivore_ ground to undergrowth gleaner
2052,GUIS-MS,yes,Mourning Dove,Zenaida macroura,MODO,yes,yes,,Granivore, ground to undergrowth gleaner,Granivore_ ground to undergrowth gleaner
2059,GUIS-MS,yes,White-throated Sparrow,Zonotrichia albicollis,WTSP,no,yes,,Granivore, ground to undergrowth gleaner,Granivore_ ground to undergrowth gleaner
2065,GUIS-MS,yes,White-crowned Sparrow,Zonotrichia leucophrys,WCSP,no,yes,,Granivore, ground to undergrowth gleaner,Granivore_ ground to undergrowth gleaner
1112,JELA,no,Cooper's Hawk,Accipiter cooperii,COHA,no,yes,not landbird,NA,NA,NA_NA
1113,JELA,no,Sharp-shinned Hawk,Accipiter striatus,SSHA,no,yes,not landbird,NA,NA,NA_NA
1167,JELA,no,Spotted Sandpiper,Actitis macularius,SPSA,no,noa,not landbird,NA,NA,NA_NA
83,JELA,yes,Red-winged Blackbird,Agelaius phoeniceus,RWBL,yes,yes,,Insectivore, ground gleaner,Insectivore_ ground gleaner
1090,JELA,no,Wood Duck,Aix sponsa,WODU,yes,yes,not landbird,NA,NA,NA_NA
1168,JELA,yes,Buff-bellied Hummingbird,Amazilia yucatanensis,BBEH,no,noa,not landbird,NA,NA,NA_NA
90,JELA,yes,Le Conte's Sparrow,Ammodramus leconteii,LCSP,no,yes,,Granivore, ground to undergrowth gleaner,Granivore_ ground to undergrowth gleaner
1186,JELA,no,Northern Pintail,Anas acuta,NOPI,no,no,not landbird,NA,NA,NA_NA
1114,JELA,no,American Wigeon,Anas americana,AMWI,no,yes,not landbird,NA,NA,NA_NA
1115,JELA,no,Northern Shoveler,Anas clypeata,NSHO,no,yes,not landbird,NA,NA,NA_NA
1116,JELA,no,Green-winged Teal,Anas crecca,GWTE,no,yes,not landbird,NA,NA,NA_NA
1117,JELA,no,Blue-winged Teal,Anas discors,BWTE,no,yes,not landbird,NA,NA,NA_NA
1118,JELA,no,Mottled Duck,Anas fulvigula,MODU,no,yes,not landbird,NA,NA,NA_NA
