order,park,landbird?,Common Name,Latin Name,4-letter code,Present in GULN point count,‘Present’ in NPSpecies & classified as park breeding,landbird or not,food,where,guild
1456,JELA,yes,Yellow-rumped Warbler,Setophaga coronata,YRWA,no,yes,,Insectivore, lower canopy foliage gleaner,Insectivore_ lower canopy foliage gleaner
1460,JELA,yes,Prairie Warbler,Setophaga discolor,PRAW,no,noa,,Insectivore, lower canopy foliage gleaner,Insectivore_ lower canopy foliage gleaner
1466,JELA,yes,Yellow-throated Warbler,Setophaga dominica,YTWA,yes,yes,,Insectivore, lower canopy foliage gleaner,Insectivore_ lower canopy foliage gleaner
1474,JELA,yes,Blackburnian Warbler,Setophaga fusca,BLBW,no,noa,,Insectivore, lower canopy foliage gleaner,Insectivore_ lower canopy foliage gleaner
1481,JELA,yes,Magnolia Warbler,Setophaga magnolia,MAWA,no,noa,,Insectivore, lower canopy foliage gleaner,Insectivore_ lower canopy foliage gleaner
1609,JELA,yes,Palm Warbler,Setophaga palmarum,PAWA,no,yes,,Insectivore,ground gleaner,Insectivore_ground gleaner
1616,JELA,yes,Chestnut-sided Warbler,Setophaga pensylvanica,CSWA,no,noa,,Insectivore, lower canopy foliage gleaner,Insectivore_ lower canopy foliage gleaner
1623,JELA,yes,Yellow Warbler,Setophaga petechia,YEWA,no,noa,,Insectivore, lower canopy foliage gleaner,Insectivore_ lower canopy foliage gleaner
1630,JELA,yes,Pine Warbler,Setophaga pinus,PIWA,no,yes,,Insectivore, upper canopy foliage gleaner,Insectivore_ upper canopy foliage gleaner
1638,JELA,yes,American Redstart,Setophaga ruticilla,AMRE,no,noa,,Insectivore, air hawker under canopy,Insectivore_ air hawker under canopy
1644,JELA,yes,Blackpoll Warbler,Setophaga striata,BLPW,no,no,,Insectivore, lower canopy foliage gleaner,Insectivore_ lower canopy foliage gleaner
1649,JELA,yes,Cape May Warbler,Setophaga tigrina,CMWA,no,noa,,Insectivore, lower canopy foliage gleaner,Insectivore_ lower canopy foliage gleaner
1656,JELA,yes,Black-throated Green Warbler,Setophaga virens,BTNW,no,noa,,Insectivore, lower canopy foliage gleaner,Insectivore_ lower canopy foliage gleaner
1663,JELA,yes,Eastern Bluebird,Sialia sialis,EABL,yes,yes,,Insectivore, ground gleaner,Insectivore_ ground gleaner
1668,JELA,yes,Red-breasted Nuthatch,Sitta canadensis,RBNU,no,yes,,Insectivore, bark gleaner,Insectivore_ bark gleaner
1682,JELA,yes,Yellow-bellied Sapsucker,Sphyrapicus varius,YBSA,no,yes,,Insectivore,bark excavator,Insectivore_bark excavator
1687,JELA,yes,Pine Siskin,Spinus pinus,PISI,no,yes,,Granivore, lower to upper canopy gleaner,Granivore_ lower to upper canopy gleaner
1696,JELA,yes,American Goldfinch,Spinus tristis,AMGO,no,yes,,Granivore, lower to upper canopy gleaner,Granivore_ lower to upper canopy gleaner
1704,JELA,yes,Dickcissel,Spiza americana,DICK,no,no,,Granivore, ground to undergrowth gleaner,Granivore_ ground to undergrowth gleaner
1711,JELA,yes,Clay-colored Sparrow,Spizella pallida,CCSP,no,noa,,Granivore, ground to undergrowth gleaner,Granivore_ ground to undergrowth gleaner
1717,JELA,yes,Chipping Sparrow,Spizella passerina,CHSP,no,yes,,Granivore, ground to undergrowth gleaner,Granivore_ ground to undergrowth gleaner
1724,JELA,yes,Field Sparrow,Spizella pusilla,FISP,no,noa,,Granivore, ground to undergrowth gleaner,Granivore_ ground to undergrowth gleaner
1731,JELA,yes,Northern Rough-winged Swallow,Stelgidopteryx serripennis,NRWS,yes,noa,,Insectivore, air hawker above canopy,Insectivore_ air hawker above canopy
1181,JELA,no,Pomarine Jaeger,Stercorarius pomarinus,POJA,no,noa,not landbird,NA,NA,NA_NA
1162,JELA,no,Forster's Tern,Sterna forsteri,FOTE,no,yes,not landbird,NA,NA,NA_NA
1182,JELA,no,Common Tern,Sterna hirundo,COTE,no,noa,not landbird,NA,NA,NA_NA
1183,JELA,no,Least Tern,Sternula antillarum,LETE,no,noa,not landbird,NA,NA,NA_NA
1737,JELA,yes,Eurasian Collared-dove,Streptopelia decaocto,EUCD,no,yes,,Granivore, ground to undergrowth gleaner,Granivore_ ground to undergrowth gleaner
1111,JELA,no,Barred Owl,Strix varia,BADO,yes,yes,not landbird,NA,NA,NA_NA
1745,JELA,yes,Eastern Meadowlark,Sturnella magna,EAME,no,yes,,Insectivore, ground gleaner,Insectivore_ ground gleaner
1756,JELA,yes,European Starling,Sturnus vulgaris,EUST,yes,yes,,Insectivore, ground gleaner,Insectivore_ ground gleaner
1763,JELA,yes,Tree Swallow,Tachycineta bicolor,TRES,no,yes,,Insectivore, air hawker above canopy,Insectivore_ air hawker above canopy
1163,JELA,no,Royal Tern,Thalasseus maximus,ROYT,no,yes,not landbird,NA,NA,NA_NA
1184,JELA,no,Sandwich Tern,Thalasseus sandvicensis,SATE,no,noa,not landbird,NA,NA,NA_NA
1903,JELA,yes,Carolina Wren,Thryothorus ludovicianus,CARW,yes,yes,,Insectivore, lower canopy foliage gleaner,Insectivore_ lower canopy foliage gleaner
1916,JELA,yes,Brown Thrasher,Toxostoma rufum,BRTH,no,yes,,Insectivore, ground gleaner,Insectivore_ ground gleaner
1164,JELA,no,Lesser Yellowlegs,Tringa flavipes,LEYE,no,yes,not landbird,NA,NA,NA_NA
1165,JELA,no,Greater Yellowlegs,Tringa melanoleuca,GRYE,no,yes,not landbird,NA,NA,NA_NA
1185,JELA,no,Solitary Sandpiper,Tringa solitaria,SOSA,no,noa,not landbird,NA,NA,NA_NA
1924,JELA,yes,House Wren,Troglodytes aedon,HOWR,no,yes,,Insectivore, lower canopy foliage gleaner,Insectivore_ lower canopy foliage gleaner
1931,JELA,yes,Winter Wren,Troglodytes troglodytes,WIWR,no,yes,,Insectivore, lower canopy foliage gleaner,Insectivore_ lower canopy foliage gleaner
1938,JELA,yes,American Robin,Turdus migratorius,AMRO,no,yes,,Insectivore, ground gleaner,Insectivore_ ground gleaner
1952,JELA,yes,Scissor-tailed Flycatcher,Tyrannus forficatus,STFL,no,noa,,Insectivore, air hawker under canopy,Insectivore_ air hawker under canopy
1962,JELA,yes,Eastern Kingbird,Tyrannus tyrannus,EAKI,no,yes,,Insectivore, air hawker under canopy,Insectivore_ air hawker under canopy
1968,JELA,yes,Western Kingbird,Tyrannus verticalis,WEKI,no,noa,,Insectivore, air hawker under canopy,Insectivore_ air hawker under canopy
1166,JELA,no,Barn Owl,Tyto alba,BANO,no,yes,not landbird,NA,NA,NA_NA
1975,JELA,yes,Golden-winged Warbler,Vermivora chrysoptera,GWWA,no,noa,,Insectivore, lower canopy foliage gleaner,Insectivore_ lower canopy foliage gleaner
1981,JELA,yes,Blue-winged Warbler,Vermivora cyanoptera,BWWA,no,noa,,Insectivore, lower canopy foliage gleaner,Insectivore_ lower canopy foliage gleaner
1995,JELA,yes,Yellow-throated Vireo,Vireo flavifrons,YTVI,no,noa,,Insectivore, lower canopy foliage gleaner,Insectivore_ lower canopy foliage gleaner
2003,JELA,yes,Warbling Vireo,Vireo gilvus,WAVI,no,noa,,Insectivore, lower canopy foliage gleaner,Insectivore_ lower canopy foliage gleaner
2011,JELA,yes,White-eyed Vireo,Vireo griseus,WEVI,yes,yes,,Insectivore, lower canopy foliage gleaner,Insectivore_ lower canopy foliage gleaner
2018,JELA,yes,Red-eyed Vireo,Vireo olivaceus,REVI,yes,yes,,Insectivore, lower canopy foliage gleaner,Insectivore_ lower canopy foliage gleaner
2025,JELA,yes,Philadelphia Vireo,Vireo philadelphicus,PHVI,no,noa,,Insectivore, lower canopy foliage gleaner,Insectivore_ lower canopy foliage gleaner
2032,JELA,yes,Blue-headed Vireo,Vireo solitarius,BHVI,no,yes,,Insectivore, lower canopy foliage gleaner,Insectivore_ lower canopy foliage gleaner
2037,JELA,yes,Yellow-headed Blackbird,Xanthocephalus xanthocephalus,YHBL,no,noa,,Granivore, ground to undergrowth gleaner,Granivore_ ground to undergrowth gleaner
2050,JELA,yes,Mourning Dove,Zenaida macroura,MODO,yes,yes,,Granivore, ground to undergrowth gleaner,Granivore_ ground to undergrowth gleaner
2057,JELA,yes,White-throated Sparrow,Zonotrichia albicollis,WTSP,no,yes,,Granivore, ground to undergrowth gleaner,Granivore_ ground to undergrowth gleaner
912,PAAL,no,Cooper's Hawk,Accipiter cooperii,COHA,no,noa,not landbird,NA,NA,NA_NA
82,PAAL,yes,Red-winged Blackbird,Agelaius phoeniceus,RWBL,yes,yes,,Insectivore, ground gleaner,Insectivore_ ground gleaner
100,PAAL,yes,Grasshopper Sparrow,Ammodramus savannarum,GRSP,no,yes,,Insectivore, ground gleaner,Insectivore_ ground gleaner
104,PAAL,yes,Black-throated Sparrow,Amphispiza bilineata,BTSP,yes,yes,,Insectivore, ground gleaner,Insectivore_ ground gleaner
913,PAAL,no,American Wigeon,Anas americana,AMWI,no,noa,not landbird,NA,NA,NA_NA
914,PAAL,no,Northern Shoveler,Anas clypeata,NSHO,no,noa,not landbird,NA,NA,NA_NA
915,PAAL,no,Blue-winged Teal,Anas discors,BWTE,no,noa,not landbird,NA,NA,NA_NA
927,PAAL,no,Mottled Duck,Anas fulvigula,MODU,no,no,not landbird,NA,NA,NA_NA
881,PAAL,no,Great Egret,Ardea alba,GREG,yes,yes,not landbird,NA,NA,NA_NA
882,PAAL,no,Great Blue Heron,Ardea herodias,GBHE,yes,yes,not landbird,NA,NA,NA_NA
125,PAAL,yes,Olive Sparrow,Arremonops rufivirgatus,OLSP,yes,yes,,Granivore, ground to undergrowth gleaner,Granivore_ ground to undergrowth gleaner
128,PAAL,yes,Verdin,Auriparus flaviceps,VERD,yes,yes,,Insectivore, lower canopy foliage gleaner,Insectivore_ lower canopy foliage gleaner
131,PAAL,yes,Black-crested Titmouse,Baeolophus atricristatus,BCTI,yes,yes,,Insectivore, lower canopy foliage gleaner,Insectivore_ lower canopy foliage gleaner
133,PAAL,yes,Tufted Titmouse,Baeolophus bicolor,TUTI,no,no,,Insectivore, lower canopy foliage gleaner,Insectivore_ lower canopy foliage gleaner
900,PAAL,no,Great Horned Owl,Bubo virginianus,GHOW,no,yes,not landbird,NA,NA,NA_NA
901,PAAL,no,Cattle Egret,Bubulcus ibis,CAEG,no,yes,not landbird,NA,NA,NA_NA
883,PAAL,no,White-tailed Hawk,Buteo albicaudatus,WTHA,yes,yes,not landbird,NA,NA,NA_NA
902,PAAL,no,Red-tailed Hawk,Buteo jamaicensis,RTHA,no,yes,not landbird,NA,NA,NA_NA
884,PAAL,no,Red-shouldered Hawk,Buteo lineatus,RSHA,yes,yes,not landbird,NA,NA,NA_NA
928,PAAL,no,Ferruginous Hawk,Buteo regalis,FEHA,no,no,not landbird,NA,NA,NA_NA
916,PAAL,no,Swainson's Hawk,Buteo swainsoni,SWHA,no,noa,not landbird,NA,NA,NA_NA
885,PAAL,no,Muscovy Duck,Cairina moschata,MUDU,yes,yes,not landbird,NA,NA,NA_NA
917,PAAL,no,Baird's Sandpiper,Calidris bairdii,BASA,no,noa,not landbird,NA,NA,NA_NA
150,PAAL,yes,Cactus Wren,Campylorhynchus brunneicapillus,CACW,yes,yes,,Insectivore, ground gleaner,Insectivore_ ground gleaner
160,PAAL,yes,Whip-poor-will,Caprimulgus vociferus,EWPW,no,noa,,Insectivore,nocturnal,Insectivore_nocturnal
886,PAAL,no,Crested Caracara,Caracara cheriway,CRCA,yes,yes,not landbird,NA,NA,NA_NA
181,PAAL,yes,Northern Cardinal,Cardinalis cardinalis,NOCA,yes,yes,,Granivore, ground to undergrowth gleaner,Granivore_ ground to undergrowth gleaner
188,PAAL,yes,Pyrrhuloxia,Cardinalis sinuatus,PYRR,yes,yes,,Granivore, ground to undergrowth gleaner,Granivore_ ground to undergrowth gleaner
887,PAAL,no,Turkey Vulture,Cathartes aura,TUVU,yes,yes,not landbird,NA,NA,NA_NA
234,PAAL,yes,Chimney Swift,Chaetura pelagica,CHSW,no,yes,,Insectivore,air hawker above canopy,Insectivore_air hawker above canopy
888,PAAL,no,Killdeer,Charadrius vociferus,KILL,yes,yes,not landbird,NA,NA,NA_NA
929,PAAL,no,Wilson's Plover,Charadrius wilsonia,WIPL,no,no,not landbird,NA,NA,NA_NA
243,PAAL,yes,Lark Sparrow,Chondestes grammacus,LASP,yes,yes,,Granivore, ground to undergrowth gleaner,Granivore_ ground to undergrowth gleaner
250,PAAL,yes,Lesser Nighthawk,Chordeiles acutipennis,LENI,yes,yes,,Insectivore,nocturnal,Insectivore_nocturnal
256,PAAL,yes,Common Nighthawk,Chordeiles minor,CONI,no,yes,,Insectivore,nocturnal,Insectivore_nocturnal
918,PAAL,no,Northern Harrier,Circus cyaneus,NOHA,no,noa,not landbird,NA,NA,NA_NA
274,PAAL,yes,Yellow-billed Cuckoo,Coccyzus americanus,YBCU,yes,yes,,Insectivore,upper canopy foliage gleaner,Insectivore_upper canopy foliage gleaner
290,PAAL,yes,Northern Flicker,Colaptes auratus,NOFL,no,noa,,Insectivore,ground gleaner,Insectivore_ground gleaner
889,PAAL,no,Northern Bobwhite,Colinus virginianus,NOBO,yes,yes,not landbird,NA,NA,NA_NA
309,PAAL,yes,Common Ground Dove,Columbina passerina,COGD,yes,yes,,Granivore,ground to undergrowth gleaner,Granivore_ground to undergrowth gleaner
320,PAAL,yes,Eastern Wood-pewee,Contopus virens,EAWP,no,noa,,Insectivore, air hawker under canopy,Insectivore_ air hawker under canopy
890,PAAL,no,Black Vulture,Coragyps atratus,BLVU,yes,yes,not landbird,NA,NA,NA_NA
330,PAAL,yes,Chihuahuan Raven,Corvus cryptoleucus,CHRA,no,yes,,Omnivore, ground forager,Omnivore_ ground forager
337,PAAL,yes,Groove-billed Ani,Crotophaga sulcirostris,GBAN,yes,yes,,Insectivore,ground gleaner,Insectivore_ground gleaner
349,PAAL,yes,Green Jay,Cyanocorax yncas,GREJ,no,yes,,Omnivore, arboreal forager,Omnivore_ arboreal forager
891,PAAL,no,Black-bellied Whistling-duck,Dendrocygna autumnalis,BBWD,yes,yes,not landbird,NA,NA,NA_NA
930,PAAL,no,Little Blue Heron,Egretta caerulea,LBHE,no,no,not landbird,NA,NA,NA_NA
931,PAAL,no,Snowy Egret,Egretta thula,SNEG,no,no,not landbird,NA,NA,NA_NA
892,PAAL,no,Tricolored Heron,Egretta tricolor,TRHE,yes,yes,not landbird,NA,NA,NA_NA
893,PAAL,no,White-tailed Kite,Elanus leucurus,WTKI,yes,yes,not landbird,NA,NA,NA_NA
440,PAAL,yes,Least Flycatcher,Empidonax minimus,LEFL,no,noa,,Insectivore, air hawker under canopy,Insectivore_ air hawker under canopy
457,PAAL,yes,Horned Lark,Eremophila alpestris,HOLA,no,yes,,Granivore, ground to undergrowth gleaner,Granivore_ ground to undergrowth gleaner
903,PAAL,no,White Ibis,Eudocimus albus,WHIB,no,yes,not landbird,NA,NA,NA_NA
932,PAAL,no,Merlin,Falco columbarius,MERL,no,no,not landbird,NA,NA,NA_NA
894,PAAL,no,Aplomado Falcon,Falco femoralis,APFA,yes,yes,not landbird,NA,NA,NA_NA
904,PAAL,no,American Kestrel,Falco sparverius,AMKE,no,yes,not landbird,NA,NA,NA_NA
905,PAAL,no,American Coot,Fulica americana,AMCO,no,yes,not landbird,NA,NA,NA_NA
906,PAAL,no,Gull-billed Tern,Gelochelidon nilotica,GBTE,no,yes,not landbird,NA,NA,NA_NA
473,PAAL,yes,Greater Roadrunner,Geococcyx californianus,GRRO,yes,yes,,Carnivore,ground hawker,Carnivore_ground hawker
494,PAAL,yes,Common (Brownsville) Yellowthroat,Geothlypis trichas insperata,COYE,no,yes,,Granivore, ground to undergrowth gleaner,Granivore_ ground to undergrowth gleaner
497,PAAL,yes,House Finch,Haemorhous mexicanus,HOFI,no,yes,,Granivore, ground to undergrowth gleaner,Granivore_ ground to undergrowth gleaner
895,PAAL,no,Black-necked Stilt,Himantopus mexicanus,BNST,yes,yes,not landbird,NA,NA,NA_NA
520,PAAL,yes,Barn Swallow,Hirundo rustica,BARS,yes,yes,,Insectivore, air hawker above canopy,Insectivore_ air hawker above canopy
534,PAAL,yes,Yellow-breasted Chat,Icteria virens,YBCH,no,yes,,Insectivore, lower canopy foliage gleaner,Insectivore_ lower canopy foliage gleaner
541,PAAL,yes,Bullock's Oriole,Icterus bullockii,BUOR,no,no,,Insectivore, lower canopy foliage gleaner,Insectivore_ lower canopy foliage gleaner
570,PAAL,yes,Loggerhead Shrike,Lanius ludovicianus,LOSH,yes,yes,,Insectivore, ground gleaner,Insectivore_ ground gleaner
919,PAAL,no,Herring Gull,Larus argentatus,HERG,no,noa,not landbird,NA,NA,NA_NA
920,PAAL,no,Ring-billed Gull,Larus delawarensis,RBGU,no,noa,not landbird,NA,NA,NA_NA
578,PAAL,yes,Orange-crowned Warbler,Leiothlypis celata,OCWA,no,noa,,Insectivore, lower canopy foliage gleaner,Insectivore_ lower canopy foliage gleaner
586,PAAL,yes,Tennessee Warbler,Leiothlypis peregrina,TEWA,no,noa,,Insectivore, lower canopy foliage gleaner,Insectivore_ lower canopy foliage gleaner
599,PAAL,yes,White-tipped Dove,Leptotila verreauxi,WTDO,yes,yes,,Granivore,ground to undergrowth gleaner,Granivore_ground to undergrowth gleaner
896,PAAL,no,Laughing Gull,Leucophaeus atricilla,LAGU,yes,yes,not landbird,NA,NA,NA_NA
933,PAAL,no,Hooded Merganser,Lophodytes cucullatus,HOME,no,no,not landbird,NA,NA,NA_NA
607,PAAL,yes,Ringed Kingfisher,Megaceryle torquata,RIKI,no,yes,,Carnivore,freshwater forager,Carnivore_freshwater forager
934,PAAL,no,Eastern Screech-Owl,Megascops asio,EASO,no,no,not landbird,NA,NA,NA_NA
610,PAAL,yes,Golden-fronted Woodpecker,Melanerpes aurifrons,GFWO,yes,yes,,Insectivore,bark excavator,Insectivore_bark excavator
814,PAAL,yes,Lincoln's Sparrow,Melospiza lincolnii,LISP,no,noa,,Granivore, ground to undergrowth gleaner,Granivore_ ground to undergrowth gleaner
822,PAAL,yes,Song Sparrow,Melospiza melodia,SOSP,no,noa,,Granivore, ground to undergrowth gleaner,Granivore_ ground to undergrowth gleaner
830,PAAL,yes,Northern Mockingbird,Mimus polyglottos,NOMO,yes,yes,,Insectivore, ground gleaner,Insectivore_ ground gleaner
838,PAAL,yes,Black-and-white Warbler,Mniotilta varia,BAWW,yes,noa,,Insectivore, bark gleaner,Insectivore_ bark gleaner
845,PAAL,yes,Bronzed Cowbird,Molothrus aeneus,BROC,yes,yes,,Granivore, ground to undergrowth gleaner,Granivore_ ground to undergrowth gleaner
850,PAAL,yes,Brown-headed Cowbird,Molothrus ater,BHCO,yes,yes,,Granivore, ground to undergrowth gleaner,Granivore_ ground to undergrowth gleaner
935,PAAL,no,Wood Stork,Mycteria americana,WOST,no,no,not landbird,NA,NA,NA_NA
861,PAAL,yes,Ash-throated Flycatcher,Myiarchus cinerascens,ATFL,yes,yes,,Insectivore, air hawker under canopy,Insectivore_ air hawker under canopy
873,PAAL,yes,Brown-crested Flycatcher,Myiarchus tyrannulus,BCFL,yes,yes,,Insectivore, air hawker under canopy,Insectivore_ air hawker under canopy
907,PAAL,no,Long-billed Curlew,Numenius americanus,LBCU,no,yes,not landbird,NA,NA,NA_NA
899,PAAL,no,Whimbrel,Numenius phaeopus,WHIM,yes,noa,not landbird,NA,NA,NA_NA
908,PAAL,no,Yellow-crowned Night-Heron,Nyctanassa violacea,YCNH,no,yes,not landbird,NA,NA,NA_NA
877,PAAL,yes,Common Pauraque,Nyctidromus albicollis,COPA,yes,yes,,Insectivore,nocturnal,Insectivore_nocturnal
909,PAAL,no,Plain Chachalaca,Ortalis vetula,PLCH,no,yes,not landbird,NA,NA,NA_NA
921,PAAL,no,Osprey,Pandion haliaetus,OSPR,no,noa,not landbird,NA,NA,NA_NA
897,PAAL,no,Harris' Hawk,Parabuteo unicinctus,HASH,yes,yes,not landbird,NA,NA,NA_NA
960,PAAL,yes,House Sparrow,Passer domesticus,HOSP,no,yes,,Granivore, ground to undergrowth gleaner,Granivore_ ground to undergrowth gleaner
968,PAAL,yes,Savannah Sparrow,Passerculus sandwichensis,SAVS,no,yes,,Granivore, ground to undergrowth gleaner,Granivore_ ground to undergrowth gleaner
982,PAAL,yes,Blue Grosbeak,Passerina caerulea,BLGR,yes,yes,,Insectivore, ground gleaner,Insectivore_ ground gleaner
990,PAAL,yes,Painted Bunting,Passerina ciris,PABU,no,yes,,Granivore, ground to undergrowth gleaner,Granivore_ ground to undergrowth gleaner
998,PAAL,yes,Indigo Bunting,Passerina cyanea,INBU,yes,yes,,Granivore, ground to undergrowth gleaner,Granivore_ ground to undergrowth gleaner
1004,PAAL,yes,Varied Bunting,Passerina versicolor,VABU,no,noa,,Granivore, ground to undergrowth gleaner,Granivore_ ground to undergrowth gleaner
922,PAAL,no,American White Pelican,Pelecanus erythrorhynchos,AWPE,no,noa,not landbird,NA,NA,NA_NA
1011,PAAL,yes,Cliff Swallow,Petrochelidon pyrrhonota,CLSW,no,noa,,Insectivore, air hawker above canopy,Insectivore_ air hawker above canopy
1017,PAAL,yes,Botteri's Sparrow,Peucaea botterii,BOSP,yes,yes,,Insectivore, ground gleaner,Insectivore_ ground gleaner
1019,PAAL,yes,Cassin's Sparrow,Peucaea cassinii,CASP,yes,yes,,Granivore, ground to undergrowth gleaner,Granivore_ ground to undergrowth gleaner
923,PAAL,no,Double-crested Cormorant,Phalacrocorax auritus,DCCO,no,noa,not landbird,NA,NA,NA_NA
1042,PAAL,yes,Ladder-backed Woodpecker,Picoides scalaris,LBWO,yes,yes,,Insectivore,bark excavator,Insectivore_bark excavator
1082,PAAL,yes,Great Kiskadee,Pitangus sulphuratus,GKIS,yes,yes,,Insectivore, upper canopy foliage gleaner,Insectivore_ upper canopy foliage gleaner
924,PAAL,no,Roseate Spoonbill,Platalea ajaja,ROSP,no,noa,not landbird,NA,NA,NA_NA
910,PAAL,no,White-faced Ibis,Plegadis chihi,WFIB,no,yes,not landbird,NA,NA,NA_NA
936,PAAL,no,Pied-billed Grebe,Podilymbus podiceps,PBGR,no,no,not landbird,NA,NA,NA_NA
1327,PAAL,yes,Blue-gray Gnatcatcher,Polioptila caerulea,BGGN,yes,yes,,Insectivore, lower canopy foliage gleaner,Insectivore_ lower canopy foliage gleaner
1335,PAAL,yes,Vesper Sparrow,Pooecetes gramineus,VESP,no,yes,,Granivore, ground to undergrowth gleaner,Granivore_ ground to undergrowth gleaner
925,PAAL,no,Sora,Porzana carolina,SORA,no,noa,not landbird,NA,NA,NA_NA
1343,PAAL,yes,Purple Martin,Progne subis,PUMA,no,no,,Insectivore, air hawker above canopy,Insectivore_ air hawker above canopy
1356,PAAL,yes,Vermilion Flycatcher,Pyrocephalus rubinus,VEFL,no,noa,,Insectivore, air hawker under canopy,Insectivore_ air hawker under canopy
1366,PAAL,yes,Great-tailed Grackle,Quiscalus mexicanus,GTGR,yes,yes,,Omnivore, ground forager,Omnivore_ ground forager
937,PAAL,no,King Rail,Rallus elegans,KIRA,no,no,not landbird,NA,NA,NA_NA
938,PAAL,no,Clapper Rail,Rallus longirostris,MARA,no,no,not landbird,NA,NA,NA_NA
1378,PAAL,yes,Ruby-crowned Kinglet,Regulus calendula,RCKI,no,noa,,Insectivore, lower canopy foliage gleaner,Insectivore_ lower canopy foliage gleaner
1400,PAAL,yes,Eastern Phoebe,Sayornis phoebe,EAPH,no,yes,,Insectivore, air hawker under canopy,Insectivore_ air hawker under canopy
1455,PAAL,yes,Yellow-rumped Warbler,Setophaga coronata,YRWA,no,yes,,Insectivore, lower canopy foliage gleaner,Insectivore_ lower canopy foliage gleaner
1473,PAAL,yes,Blackburnian Warbler,Setophaga fusca,BLBW,no,no,,Insectivore, lower canopy foliage gleaner,Insectivore_ lower canopy foliage gleaner
1634,PAAL,yes,Tropical Parula,Setophaga pitiayumi,TRPA,yes,noa,,Insectivore, upper canopy foliage gleaner,Insectivore_ upper canopy foliage gleaner
1692,PAAL,yes,Lesser Goldfinch,Spinus psaltria,LEGO,yes,yes,,Granivore, lower to upper canopy gleaner,Granivore_ lower to upper canopy gleaner
1703,PAAL,yes,Dickcissel,Spiza americana,DICK,yes,noa,,Granivore, ground to undergrowth gleaner,Granivore_ ground to undergrowth gleaner
1710,PAAL,yes,Clay-colored Sparrow,Spizella pallida,CCSP,no,noa,,Granivore, ground to undergrowth gleaner,Granivore_ ground to undergrowth gleaner
1716,PAAL,yes,Chipping Sparrow,Spizella passerina,CHSP,yes,noa,,Granivore, ground to undergrowth gleaner,Granivore_ ground to undergrowth gleaner
939,PAAL,no,Least Tern,Sternula antillarum,LETE,no,no,not landbird,NA,NA,NA_NA
1744,PAAL,yes,Eastern Meadowlark,Sturnella magna,EAME,yes,yes,,Insectivore, ground gleaner,Insectivore_ ground gleaner
1755,PAAL,yes,European Starling,Sturnus vulgaris,EUST,yes,yes,,Insectivore, ground gleaner,Insectivore_ ground gleaner
898,PAAL,no,Least Grebe,Tachybaptus dominicus,LEGR,yes,yes,not landbird,NA,NA,NA_NA
1762,PAAL,yes,Tree Swallow,Tachycineta bicolor,TRES,no,noa,,Insectivore, air hawker above canopy,Insectivore_ air hawker above canopy
1769,PAAL,yes,Bewick's Wren,Thryomanes bewickii,BEWR,yes,yes,,Insectivore, ground gleaner,Insectivore_ ground gleaner
1902,PAAL,yes,Carolina Wren,Thryothorus ludovicianus,CARW,yes,yes,,Insectivore, lower canopy foliage gleaner,Insectivore_ lower canopy foliage gleaner
1909,PAAL,yes,Curve-billed Thrasher,Toxostoma curvirostre,CBTH,yes,yes,,Insectivore, ground gleaner,Insectivore_ ground gleaner
1912,PAAL,yes,Long-billed Thrasher,Toxostoma longirostre,LBTH,yes,yes,,Insectivore, ground gleaner,Insectivore_ ground gleaner
940,PAAL,no,Lesser Yellowlegs,Tringa flavipes,LEYE,no,no,not landbird,NA,NA,NA_NA
926,PAAL,no,Greater Yellowlegs,Tringa melanoleuca,GRYE,no,noa,not landbird,NA,NA,NA_NA
911,PAAL,no,Willet,Tringa semipalmata,WILL,no,yes,not landbird,NA,NA,NA_NA
1923,PAAL,yes,House Wren,Troglodytes aedon,HOWR,no,noa,,Insectivore, lower canopy foliage gleaner,Insectivore_ lower canopy foliage gleaner
1944,PAAL,yes,Couch's Kingbird,Tyrannus couchii,COKI,yes,yes,,Insectivore, air hawker under canopy,Insectivore_ air hawker under canopy
1951,PAAL,yes,Scissor-tailed Flycatcher,Tyrannus forficatus,STFL,yes,yes,,Insectivore, air hawker under canopy,Insectivore_ air hawker under canopy
1956,PAAL,yes,Tropical Kingbird,Tyrannus melancholicus,TRKI,no,yes,,Insectivore, air hawker under canopy,Insectivore_ air hawker under canopy
1961,PAAL,yes,Eastern Kingbird,Tyrannus tyrannus,EAKI,no,yes,,Insectivore, air hawker under canopy,Insectivore_ air hawker under canopy
941,PAAL,no,Barn Owl,Tyto alba,BANO,no,no,not landbird,NA,NA,NA_NA
2010,PAAL,yes,White-eyed Vireo,Vireo griseus,WEVI,yes,yes,,Insectivore, lower canopy foliage gleaner,Insectivore_ lower canopy foliage gleaner
2043,PAAL,yes,White-winged Dove,Zenaida asiatica,WWDO,yes,yes,,Granivore, ground to undergrowth gleaner,Granivore_ ground to undergrowth gleaner
2049,PAAL,yes,Mourning Dove,Zenaida macroura,MODO,yes,yes,,Granivore, ground to undergrowth gleaner,Granivore_ ground to undergrowth gleaner
720,PAIS,no,Cooper's Hawk,Accipiter cooperii,COHA,no,noa,not landbird,NA,NA,NA_NA
721,PAIS,no,Sharp-shinned Hawk,Accipiter striatus,SSHA,no,noa,not landbird,NA,NA,NA_NA
625,PAIS,no,Spotted Sandpiper,Actitis macularius,SPSA,no,yes,not landbird,NA,NA,NA_NA
