OID_,zone,ZONE_CODE,COUNT,AREA,MEAN,STD
47,Ba_57_200,29,13923,125307,0.3332029,0.262132491
48,Ba_48_100,30,3490,31410,0.001030633,0.012156821
49,Ba_34_100,31,3475,31275,0.000129394,0.004772278
50,Ba_43_100,32,3482,31338,0.000419772,0.008400863
51,Ba_36_100,33,3480,31320,0.385210597,0.241153016
52,Ba_58_100,34,3484,31356,0.06003233,0.154747365
53,Ba_16_100,35,3485,31365,0.479750178,0.301768571
54,Ba_41_100,36,3474,31266,0.024329127,0.063374596
55,Ba_05_100,37,3482,31338,0.003107468,0.030914618
56,Ba_39_100,38,3480,31320,0.008478456,0.038244391
57,Ba_51_100,39,3485,31365,0.000330576,0.006769663
58,Ba_31_100,40,3483,31347,0.000593321,0.00900641
59,Ba_09_100,41,3480,31320,0.184908111,0.251482537
60,Ba_40_100,42,3480,31320,0.108007037,0.240953687
61,Ba_10_100,43,3481,31329,0.000333289,0.006965039
62,Ba_38_100,44,3475,31275,0.00331659,0.022279376
63,Ba_15_100,45,3483,31347,0.008979049,0.053793321
64,Ba_21_100,46,3482,31338,0.007618174,0.060313548
65,Ba_54_100,47,3491,31419,0.005561736,0.048863646
66,Ba_45_100,48,3482,31338,0.003838298,0.030100671
67,Ba_08_100,49,3491,31419,0.000676339,0.01279414
68,Ba_06_100,50,3489,31401,2.37271E-05,0.000809826
69,Ba_26_100,51,3482,31338,0.462411988,0.211279246
70,Ba_22_100,52,3490,31410,0.264053955,0.257471238
71,Ba_12_100,53,3485,31365,0.37358464,0.257707833
72,Ba_04_100,54,3483,31347,0.192268571,0.265769624
73,Ba_55_100,55,3486,31374,0.190824343,0.27570069
74,Ba_33_100,56,3486,31374,0.175003381,0.242498395
75,Ba_49_100,57,3483,31347,0.320099253,0.271000261
76,Ba_57_100,58,3482,31338,0.353609549,0.265601459
77,Ba_48_50,59,874,7866,0.000852115,0.012374203
78,Ba_34_50,60,871,7839,0.000129313,0.00270126
79,Ba_43_50,61,869,7821,0.000286112,0.004820999
80,Ba_36_50,62,869,7821,0.432587114,0.214567434
81,Ba_58_50,63,870,7830,0.03659818,0.11958408
82,Ba_16_50,64,871,7839,0.38656128,0.292398335
83,Ba_41_50,65,874,7866,0.039198382,0.077415389
84,Ba_05_50,66,872,7848,0.002332212,0.028742538
85,Ba_39_50,67,868,7812,0.01726182,0.053866119
86,Ba_51_50,68,871,7839,0.000555768,0.007979286
87,Ba_31_50,69,869,7821,0.000179804,0.004367137
88,Ba_09_50,70,873,7857,0.30696714,0.259480056
89,Ba_40_50,71,872,7848,0.019080448,0.084410787
90,Ba_10_50,72,868,7812,8.86211E-05,0.002609435
91,Ba_38_50,73,873,7857,0.004328045,0.024468795
92,Ba_15_50,74,873,7857,0.002378008,0.021689783
93,Ba_21_50,75,869,7821,6.5757E-05,0.001937323
94,Ba_54_50,76,873,7857,0,0
95,Ba_45_50,77,872,7848,0,0
96,Ba_08_50,78,872,7848,0,0
97,Ba_06_50,79,873,7857,0,0
98,Ba_26_50,80,868,7812,0.402009218,0.255920584
99,Ba_22_50,81,871,7839,0.231138299,0.254210932
100,Ba_12_50,82,870,7830,0.340397626,0.28880121
101,Ba_04_50,83,871,7839,0.162385117,0.224346934
102,Ba_55_50,84,872,7848,0.250422631,0.313984018
103,Ba_33_50,85,868,7812,0.149919719,0.220558103
104,Ba_49_50,86,869,7821,0.282879639,0.253856942
105,Ba_57_50,87,869,7821,0.385894995,0.276553848
106,Mi_40_200,1,13919,125271,0.187789117,0.292932126
107,Mi_39_200,2,13922,125298,0.184094324,0.280307388
108,Mi_30_200,3,13922,125298,0.313908678,0.309696569
109,Mi_38_200,4,13927,125343,0.162248209,0.281694369
110,Mi_15_200,5,13923,125307,0.123576225,0.245392356
111,Mi_07_200,6,13928,125352,0.254796503,0.258656144
112,Mi_28_200,7,13921,125289,0.213556684,0.26329317
113,Mi_35_200,8,13913,125217,0.253946183,0.288542347
114,Mi_26_200,9,13922,125298,0.374838144,0.261668938
115,Mi_27_200,10,13913,125217,0.268467254,0.277057163
116,Mi_11_200,11,13917,125253,0.104179947,0.212583309
117,Mi_09_200,12,13915,125235,0.142009444,0.237232755
118,Mi_37_200,13,13922,125298,0.100092946,0.21309771
119,Mi_16_200,14,13923,125307,0.182896848,0.264962953
120,Mi_08_200,15,13915,125235,0.326450165,0.281119848
121,Mi_17_200,16,13918,125262,0.38091661,0.28910447
122,Mi_21_200,17,13921,125289,0.182926499,0.26256553
123,Mi_23_200,18,13925,125325,0.146139109,0.250331164
124,Mi_31_200,19,13918,125262,0.153512396,0.255774009
125,Mi_32_200,20,13922,125298,0.212498156,0.2906279
126,Mi_25_200,21,13917,125253,0.383576989,0.257639892
127,Mi_34_200,22,13917,125253,0.354126137,0.248103938
128,Mi_14_200,23,13922,125298,0.452890553,0.238347376
129,Mi_12_200,24,13921,125289,0.359437014,0.273714112
130,Mi_13_200,25,13908,125172,0.40537802,0.305169152
131,Mi_19_200,26,13923,125307,0.232750402,0.275543835
132,Mi_22_200,27,13926,125334,0.307497665,0.274458889
133,Mi_40_100,28,3485,31365,0.114998807,0.230035342
134,Mi_39_100,29,3482,31338,0.210949299,0.278533984
135,Mi_30_100,30,3479,31311,0.414203299,0.271751125
136,Mi_38_100,31,3480,31320,0.189317037,0.302563687
137,Mi_15_100,32,3479,31311,0.138393761,0.254035492
138,Mi_07_100,33,3479,31311,0.348471917,0.246778982
139,Mi_28_100,34,3472,31248,0.246655201,0.26874874
140,Mi_35_100,35,3475,31275,0.404465521,0.261550101
